file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00499_0009_35127_to_35861,རྒྱུ་མཚན་དང་།  ,rgyu mtshan dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00499_0009_35127_to_35861.wav,STT_AB,2,15,0.734,wav16k/STT_AB00499_0009_35127_to_35861.wav,རྒྱུ་མཚན་དང་།
STT_AB00329_0132_1090494_to_1098626,གི་མདུན་གྱི་སྟེགས་བུའི་ཐོག་ཏུ་ཚོས་གཞི་འདྲ་མིན་སྣ་ཚོགས་ཀྱི་མེ་ཏོག་སྣ་འཛོམས་ཀྱིས་ཁེངས་ནས་སེམས་ལ་རང་བཞིན་དུ་སྐྱིད་སྣང་འཆར་ཞིང་།  ,gi mdun gyi stegs bu'i thog tu tshos gzhi 'dra min sna tshogs kyi me tog sna 'dzoms kyis khengs nas sems la rang bzhin du skyid snang 'char zhing /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00329_0132_1090494_to_1098626.wav,STT_AB,2,126,8.132,wav16k/STT_AB00329_0132_1090494_to_1098626.wav,གྱི་མདུན་གྱི་སྟེགས་བུའི་ཐོག་ཏུ་ཚོས་གཞི་འདྲ་མིན་སྣ་ཚོགས་ཀྱི་མེ་ཏོག་སྣེ་འཛོམས་ཀྱིས་ཁེངས་ནས་སེམས་ལ་རང་བཞིན་དུ་སྐྱིད་སྣང་ཞིག་འཆར་ཞིང་།
STT_AB00329_0133_1099496_to_1107192,དམར་སེར་སྔོན་གསུམ་གྱི་འཇའ་རིས་ལྡན་པའི་ཤམ་འབུས་བརྒྱན་པའི་ཤེལ་ཁྲའི་མཐའ་འཁོར་གྱི་ནག་རྩི་རྣམས་ནི་གཞི་མ་དྭངས་ཤིང་ ,dmar ser sngon gsum gyi 'ja' ris ldan pa'i sham 'bus brgyan pa'i shel khra'i mtha' 'khor gyi nag rtsi rnams ni gzhi ma dwangs shing _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00329_0133_1099496_to_1107192.wav,STT_AB,2,109,7.696,wav16k/STT_AB00329_0133_1099496_to_1107192.wav,དམར་སེར་མངོན་སུམ་གྱི་འྱའ་རིས་ལྡན་པའི་གཤམ་བུ་རྒྱན་པའི་ཤིལ་སཁྲའི་མཐའ་འཁོར་གྱི་ནགས་རྫི་རྣམས་ནི་བཞི་མ་དྭངས་ཤིང་
STT_AB00329_0137_1135383_to_1144240,ཟེར་བས་ཚོང་དཔོན་གྱིས་ཞྭ་མོ་ཕུད་ནས་ཕྱག་འབུལ་ཞུས་པ་དང་། གསལ་སྒྲོན་ལགས་དང་ཡེ་ཤེས་མཁའ་འགྲོས་ཀྱང་ལག་པ་གཉིས་ཀྱིས་ཕྱག་འབུལ་ཞིག་ཞུས།  ,zer bas tshong dpon gyis zhwa mo phud nas phyag 'bul zhus pa dang /_gsal sgron lags dang ye shes mkha' 'gros kyang lag pa gnyis kyis phyag 'bul zhig zhus/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00329_0137_1135383_to_1144240.wav,STT_AB,2,126,8.857,wav16k/STT_AB00329_0137_1135383_to_1144240.wav,ཟེར་བས་ཚོང་དཔོན་གྱིས་ཞྭ་མོ་ཕུད་ནས་ཕྱག་འབུལ་ཞུས་པ་དང་གསལ་སྒྲོན་ལགས་དང་ཡེ་ཤེས་མཁའ་འགྲོས་ཀྱང་ལག་པ་གཉིས་ཀྱི་ཕྱག་འབུལ་རེགས་ཞུས།
STT_AB00329_0147_1207892_to_1212824,ཚོང་དཔོན་དགྲ་ལྷ་ལགས་ཏོག་ཙམ་ཞིག་ནས་གཟིམ་ཆུང་རབ་གསལ་ལ་སྐུ་རྩེད་གནང་བར་ཕེབས་ཨང་།  ,tshong dpon dgra lha lags tog tsam zhig nas gzim chung rab gsal la sku rtsed gnang bar phebs ang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00329_0147_1207892_to_1212824.wav,STT_AB,2,79,4.932,wav16k/STT_AB00329_0147_1207892_to_1212824.wav,ཚོང་དཔོན་དགྲ་ལྷ་ལ་ཏོག་ཙམ་ཞིགས་ནས་གཟིམ་ཆུང་རབ་གསལ་ལ་སྐུ་རྩེད་གནང་བར་ཕེབས་ཨ།
STT_AB00342_0291_1749291_to_1753643,རང་ནང་འདི་ལ་ཡ་མིག་ལྟ་བྱེད་དགོས་པ་དང་། རྫོང་ནས་བཀའ་ཞིབ་མ་ཕེབས་བར་ ,rang nang 'di la ya mig lta byed dgos pa dang /_rdzong nas bka' zhib ma phebs bar _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00342_0291_1749291_to_1753643.wav,STT_AB,2,65,4.352,wav16k/STT_AB00342_0291_1749291_to_1753643.wav,རང་ནང་འདི་ལ་ཡ་མིག་བལྟ་བྱེད་དགོས་པ་དང་། རྫོང་ནས་བཀ་ཤིག་མ་ཕེབས་པར་
STT_AB00329_0142_1169769_to_1180588,ཚོང་པ་རེ་གཉིས་མ་གཏོགས་སླེབས་མེད་སྟབས་ཁོ་ཚོ་ནི་གཉིས་རེ་གསུམ་རེ་ཙམ་ཕན་ཚུན་སྐད་ཆ་བཤད་ནས་བསྡད་འདུག སྐབས་དེར་ལྷ་ལྕམ་སྐུ་ཞབས་ཀྱིས་སྐུ་མགྲོན་ཁྲིད་དེ་འོང་བ་མཐོང་བས་ ,tshong pa re gnyis ma gtogs slebs med stabs kho tsho ni gnyis re gsum re tsam phan tshun skad cha bshad nas bsdad 'dug_skabs der lha lcam sku zhabs kyis sku mgron khrid de 'ong ba mthong bas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00329_0142_1169769_to_1180588.wav,STT_AB,2,157,10.819,wav16k/STT_AB00329_0142_1169769_to_1180588.wav,ཚོང་པ་རེ་གཉིས་མ་གཏོགས་སླེབས་མེད་སྟབས་ཁོ་ཚོ་ནི་གཉིས་རེ་གསུམ་རེ་ཙམ་ཕན་ཚུན་སྐད་ཆ་བཤད་ནས་བསྡད་འདུག སྐབས་དེར་ལྷ་ལྕམ་སྐུ་ཞབས་ཀྱིས་སྐུ་མགྲོན་ཁྲིད་དེ་འོང་བ་མཐོང་བས་
STT_AB00329_0145_1193575_to_1201612,མགོ་ཡང་སྒུར་ཙམ་བྱེད་བཞིན་ས་ལམ་ཟེར་ནས་ཆ་ལུགས་སོ་སོའི་གུས་བཏུད་འདྲ་མིན་ཞུས་རྗེས་ལྷ་ལྕམ་སྐུ་ཞབས་ཀྱིས་ ,mgo yang sgur tsam byed bzhin sa lam zer nas cha lugs so so'i gus btud 'dra min zhus rjes lha lcam sku zhabs kyis _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00329_0145_1193575_to_1201612.wav,STT_AB,2,99,8.037,wav16k/STT_AB00329_0145_1193575_to_1201612.wav,མགོ་ཡང་སྒུར་ཙམ་བྱེད་བཞིན་ས་ལམ་ཟེར་ནས་ཆ་ལུགས་སོ་སོའི་གུས་འཏུད་འདྲ་མིན་ཞུས་རྗེས་ལྷ་ལྕམ་གྱིས་
STT_AB00329_0148_1213284_to_1223455,ལྷན་རྒྱས་བཞུགས་གདན་འཇགས། ཨ་ཅག་གསལ་སྒྲོན་ལགས་ང་ཚོ་གཟིམ་ཆུང་ཀུན་སྐྱིད་དུ་ཕེབས་ཟེར་ནས་གསལ་སྒྲོན་ལགས་དང་ཡེ་ཤེས་མཁའ་འགྲོ་ཁྲིད་དེ་གཟིམ་ཆུང་ཀུན་སྐྱིད་དུ་སླེབས།  ,lhan rgyas bzhugs gdan 'jags/_a cag gsal sgron lags nga tsho gzim chung kun skyid du phebs zer nas gsal sgron lags dang ye shes mkha' 'gro khrid de gzim chung kun skyid du slebs/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00329_0148_1213284_to_1223455.wav,STT_AB,2,154,10.171,wav16k/STT_AB00329_0148_1213284_to_1223455.wav,ལྷན་རྒྱས་བཞུགས་གདན་འཇགས། ཨ་ཅག་གསལ་སྒྲོན་ལགས། ང་ཚོ་གཟིམ་ཆུང་ཀུན་སྐྱིད་དུ་ཕེབས་ཟེར་ནས་གསལ་སྒྲོན་ལགས་དང་ཡེ་ཤེས་མཁའ་འགྲོ་ཁྲིད་དེ་གཟིམ་ཆུང་ཀུན་སྐྱིད་དུ་ཕེབས།
STT_AB00329_0170_1406441_to_1412465,དེ་རིང་ཉིན་གང་ཞབས་ཕྱི་ཁང་འདིའི་ནང་དུ་བསྡད་ན་སྐུ་ངོ་རྫོང་རྩད་གཅོད་མི་ཐུབ་པ་ངེས་ཅན་ཡིན།  ,de ring nyin gang zhabs phyi khang 'di'i nang du bsdad na sku ngo rdzong rtsad gcod mi thub pa nges can yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00329_0170_1406441_to_1412465.wav,STT_AB,2,87,6.024,wav16k/STT_AB00329_0170_1406441_to_1412465.wav,དེ་རིང་ཉིན་གང་ཞབས་ཕྱི་ཁང་འདིའི་ནང་དུ་བསྡད་ན་སྐུ་ངོ་རྫོང་་རྩད་གཅོད་མི་ཐུབ་པ་ཉེས་ཅན་ཡིན།
